,Comment,Tag(s),,
Technician,"The feedback/ survey email needs to be changed - I think, we should be creative to ask for feedback messages by changing the font and make it short and easy to read",Usability,competitors,N/A
Facility Manager,"The IMFM format works better for entering work orders, but lacks the flexibility and control that SI7 has in the desktop format",Usability,languages,Neutral
Technician,The interface can use some improvement.  The design looks dated.  ,Usability,login,Negative
System Administrator,The IVR has too many issues.,Usability,,Negative
Facility Coordinator,The length of time spent searching for invoices and many times the assigned location is no the default at sign in,Usability,"vendor, Problem codes",Neutral
Customer Service Rep,"The login & out system is not very good, we often cannot log out due to some error message on the IVR system and cannot manually input times online.",Usability,,Negative
Facility Manager,The navigation of the portal is less than adequate. Searching for open work orders is not easy. You should add e-mail verification once a work order is submitted. ,Usability,vendor,Negative
Customer Service Rep,The notes function and the actual recorded history of the work order is confusing and folks often look in the wrong place! ,Usability,languages,Negative
System Administrator,The overall user experience is lacking. Searching for work orders is complicated. The work order dashboards are hard to navigate through to find the right information. Comments seem to go unnoticed at times.,Usability,,N/A
Technician,The platform is not user friendly at all,Usability,,Neutral
Technician,The preventive maintenance is not friendly. Also is needed in local language and with local job plans and frequencies.,Usability,assignment,Negative
Facility Manager,The search would be better if it was more broad and the input did not have to be exact.,Usability,"WO, Problem codes",Negative
Facility Manager,The system is less intuitive than other WO systems I have used in the past.,Usability,,Negative
Facility Manager,The user interface is not very user friendly and a little outdated.,Usability,"vendor, WO, search",Negative
Facility Coordinator,"The website functions, but is very unfriendly for a user. It would be great if you could open work orders without losing your previous screen and having to re fill in all your search filters. Submitting a quote is always made difficult because if you mess something up (such as too many characters in description or hitting save without a line-item having a description) you lose all your progress and cannot save the quote again, requiring you to start over. The quotes should be able to populate into invoices directly. Communications on the software should appear in a communication box, making it easier to access communications, these communications could appear in a pop up box - like a notification on an iPhone. The website functions properly and my team has integrated to be able to use it, but our jobs are routinely made more difficult because the fmPilot software is not very user friendly/streamlined.",Usability,,N/A
Customer Service Rep,"The work description is limited to 2048, which is very short to explain the issues, describe the steps, and set a recommendation.",Usability,"call center request, job steps",Negative
Facility Manager,"There are a good amount of general usability problems such as the ""View Service Request"" functionality and your ability to easily identify status changes/updates to your open work orders.",Usability,,Neutral
Client/Customer,There are a lot of restrictions in SI that make it a difficult program to self-serve in and to customize to improve the customer experience. Navigational functionality steps do not make the user experience efficient. I have a list if interested. 256-990-9087,Usability,"WO, job steps",Neutral
Facility Manager,There are certain functions with the system that I wish were a little easier. ,Usability,"tickets, PM",Neutral
Facility Manager,"There are issues with current work orders not showing when opening the page or when adding all filters. We find that we have to exit out, or go to another page and then go back to the main page for all the work orders to show. We have had a couple instances where work orders have been closed out before the work is complete and apparenlty its due to a system problem or wrong location assignment in the system. It would be nice to be able to run a report of all workorders and their statuses in order to keep track since the system seems to be innaccurate a lot",Usability,"WO, email, locations",Neutral
Client/Customer,There are not enough choices for issues,Usability,access and record retention,Neutral
Facility Manager,There are too many buttons to push just to submit a quote or invoice. It is also frustrating that you can't just type in the price. Almost all of our quotes or invoices are rejected. It takes way too long to submit. It isn't worth the time it takes trying to get paid for a job we promptly completed. ,Usability,,Positive
Facility Manager,There are too many options to toggle through screens. Things should be streamlined for easy access to know your work order count and current status. ,Usability,WO,Negative
Client/Customer,"There needs to be an easier way to run reports in FMP. The way to set up filters, etc. is not intuitive, is cumbersome to users, very complicated and frustrating.  Also, the only convenient way to search for a work order is with a PO/WEB number. If I'm doing a search and do not have that criterion, I'm dead in the water.  ",Usability,"Request, WO",Negative
Facility Manager,There was a small period of time that the PM was already in the money area and that was nice because I didn't have to enter the same amount over and over.  We get the same amount for every PM so if it is automatic - that would sure be nice.  ,Usability,,Negative
Facility Manager,This is not user friendly ,Usability,"job steps, WO, PM",Negative
Facility Coordinator,"This platform is not user friendly- searching for a site is difficult, searching for anything is difficult.  inputting financial lines is difficult.  ",Usability,"Reporting, vendor",Neutral
Facility Manager,This portal has too many complicated processes for submitting one invoice,Usability,,Positive
Facility Manager,This system needs improvement. It is such a pain to use that I'm debating whether or not to even continue doing work for IFM. Doesn't seem worth it.,Usability,"JDE, vendor, finance",Neutral
Finance & Accounting,This system needs to be user-friendly and less clicking in order to submit a ticket. ,Usability,,Negative
Facility Manager,"Tickets can be difficult to find, especially when they have been closed.  ",Usability,"PM, languages, job plans",Negative
Technician,times out too quickly  ,Usability,,Negative
Technician,To open  a sub PM is too complicated. As well I face often issues by dispatching date of a work order. which is marked in the past and then too late to close properly the PM (wiht a smily green face for success) ,Usability,,Positive
Facility Manager,Too much having to go to the actions tab and select an option from the accepting a WO to invoicing it.,Usability,MyBuy,Negative
Facility Manager,Try to cut down on the redundancy of repeating the same question several times to complete a process.  IE:  when invoicing for example. I have to put the job description in several areas and attach an invoice with the same description on it.,Usability,"Target time, quicklist",Negative
Facility Manager,"UI overhaul focus on lessening the amount of ""Clicks"" required to achieve an outcome.",Usability,Reporting,Neutral
Client/Customer,"Under actions, when submitting an invoice, the option to submit an invoice is much too close to the option to zero and invoice...either some more space between them or if when you choose ""zero an invoice"", there were a pop-up that allowed you to confirm the action rather than just automatically closing it. There also seem to be some glitchy things that if you don't do everything in just the right order, you possibly lose all your work and have to start over...very frustrating.",Usability,"Attachments, job steps",Negative
Facility Manager,"Update filters to allow to search multiple vendors. Even when a filter is built under Reporting, Reports the details do not save and multiple vendors are not saved.  To be able to use the ""Contains, Ends With, Equals, etc"" options in the drop downs.",Usability,WO,Negative
Technician,"Update system to recognize the person logging in. I have been having trouble with that since inception, despite multiple requests for assistance.",Usability,"mobile, iMFM",Negative
Facility Manager,"Very difficult to use, always have problems ",Usability,WO,Neutral
Facility Manager,Very outdated system. ,Usability,PM,Negative
Technician,"we as managers use the FM pilot and desktop version, the App is a different set up. I would like to see a way to access the app better for managers to see what the techs see to help make sure clients and info can be accessed better. The downloads and uploaded forms are not visible to the field techs. ",Usability,"iMFM, search",Negative
Facility Manager,"We love it, it makes our job from check in to invoicing very easy.",Usability,,Positive
Facility Manager,"We need a ""pinned"" comment, we need an additional radio button like the ""emg"" button (need to be able to denote in IFM that there is no water, or no restroom, or no HVAC, et c- right now it's too generic with the RCs and no configurable field to report on for these urgent issues). The assets from client side need to be integrated. The new UI is incredibly unfriendly and the tracking is impossible to navigate.  ",Usability,"email, notification",Neutral
Technician,"When copying quotes to invoice (line items) it always includes the ""STANDARD -- STANDARD--"" writing in the description. Give visibility to clients when a vendor updates the scheduled ETA date.",Usability,,Negative
Technician,When I try to look up vendor work orders it doesn't give me what I need,Usability,login,Negative
System Administrator,"When opening a new work order, it will often not autofill the requestor information making it so I have to reload the application every time to put in a work order.",Usability,,Negative
Client/Customer,When using filters please make it so we can go back a page without having to refresh and start all over again. ,Usability,,Negative
Technician,"When you create child WO's many times it is not working, you should try 3-4 times, or close and reopen it. This is so frustrating...",Usability,,Neutral
Client/Customer,"Work order location defaults to the wrong location than mine every work order.  Too many clicks and menues to create a work order.  do not get updates to my email when wos are approved, finished cancelled put on hold etc.  dont know who gets my WO,  very difficult to search for work orders I have created, no easy way to follow up on work orders unless you write down work orders and check on them manually..  Techs do not have the same work order numbers as I create when they do their work.  ",Usability,"vendor, finance",Negative
Facility Manager,"would be great if i could receive email notifications each time an employee opens a ticket for us. without emails, i have to refresh the page all the time just to make sure we don't have anything pending",Usability,"WO, search, quicklist",Negative
Technician,"Yes, there can be a restructure on a lot of the unnecessary drop-down menus that would be great. Also adding a entry so when we add our invoice, we don't have to input the invoice twice and it can be copied over to your system.",Usability,"WO, PM",Neutral
Technician,"Your app should be simple.  Once you take pictures at the site when work is completed, then invoicing and payment should automatically follow. ",Usability,"mobile, contractors",Negative
System Administrator,"The display boxes in the PM jobs screen, are just small enough to be maddening. There is room on the screen for larger boxes, so you can see all of the details in the PM job boxes that display the PM jobs without having to scroll a half inch, but this room isn't utilized. Also, when checking the Cycle Statuses in the PM jobs, only the work order(s) for one cycle show in the data results list below, even if more than one cycle ran for the time frame indicated - you have to use a drop down for the Cycle Instance field to see all of the cycles that ran during the time frame. It would be very helpful to see ALL work orders that ran during the time frame indicated/selected. ",Usability,Reporting,Neutral
Technician,being more user friendly where it does not want to glitch and runs smooth.  ,"Usability, Bug",mobile,Negative
Technician,"Fix this: 1.I selected ""remember me"" but it never does.  2.The password is generated by CBRE and I can't seem to change it, so I always look it up.  3.The app hasn't been letting me login or when I do sometimes I can't open the work order. 4.At invoicing, there was no Equipment category to bill for, nor did I have a choice for Apprentice under labor. I need these 4 categories to bill: Labor, Materials, Equipment, Trip charge.","Usability, Bug",competitors,Negative
Facility Manager,I think its harder to find your older tickets and the calendar almost never works for us. ,"Usability, Bug",WO,Negative
Facility Manager,It is very difficult to enter work orders.  Most times the website is glitchy and i cannot select my location and therefore cannot enter a non-emergency workorder.,"Usability, Bug",,Negative
Customer Service Rep,"It's not very intuitive, seems to lose work orders, Placing a work order is a little frustrating due to all the prompts. ","Usability, Bug",,Negative
System Administrator,not always able to view work orders - screen will continuously attempt to load and will not advance.,"Usability, Bug","WO, job steps",Negative
Client/Customer,When making a new w/o order and you get all the end and it says you need to add in the “area” box. So you go back to the box and it erases everything you have already input.  Can that please be fixed.,"Usability, Bug","Problem codes, portal",Negative
System Administrator,Can make accessibility and options of status' more available,"Usability, Data Issue",client,Negative
Facility Manager,I would find it easier to use fmPilot if I didn't have to guess what category my work order falls under. Sometimes what I need isn't listed in the category options and I have to put it under General Maintenance/Non-emergency. It would also be nice to make emergency work orders on the website instead of calling them in. ,"Usability, Data Issue",,Negative
Facility Coordinator,It is very difficult to edit information regarding your own site. There is information on there that is over a decade old! It would be nice to be able to upgrade the the site as and when it's needed.,"Usability, data issue","PO, WO, languages, MyBuy",Negative
Facility Coordinator,"Less nuances to make simple changes.  For example, closing a building requires work to be done at all four levels of the location hierarchy, attached matrices and employee records.  This requires various data loads and back and forth between numerous screens.","Usability, data issue",,Negative
Customer Service Rep,PM reporting could be better; missing the option to store building details at the building level with ease of access/reporting of those items,"Usability, data issue",,Neutral
Technician,"Si Request: This tool inserted in the customer portal has a straightforward layout, but it is not easy to find the problem code either. Customers mostly open the wrong ticket, which causes the wrong priorities","Usability, data issue",WO,Negative
Facility Coordinator,"Small quality of life changes. Less of a need to constantly sync, and more streamlined menus in IMFM.","Usability, data issue",login,Negative
Technician,Sometimes the available options in the pull down menus don't line up well with the actual issue.  I'm not aware of a good way to filter requests only by my buildings.  The dashboard and the service history report show me every work order in the company.,"Usability, data issue",pto,Neutral
Technician,System needs to be streamlined. Too many steps to create/edit/close/pull data/ make corrections. ,"Usability, data issue",,N/A
Facility Manager,"The location being placed before the unit information is an issue. I think it should be, unit (by clients unit number), location, site, then bookkeeping or some whatever stuff. On the back end, we need the date in, date due, unit, who put the work order in, and the problem. The site information can come later. People usually know at what site they are working.","Usability, data issue","WO, Reporting",Negative
Facility Manager,The mobile version is hard to use sometimes you put a work order in and it doesn't come thru  if you do a field PO it doesn't come thru you actually ave to close it out and relog in to see the field PO ,"Usability, data issue","PM, assets",Negative
Technician,"The passwords are a real problem.  There needs to be a clearer definition about what applications change when I am required to change passwords.  There is SI7, Service Tools, Imfm, Vantage, Sharepoint Site  & Microsoft Smartsheets that all interface with each other.  When the password is changed, it changes the password in some apps but not others.  It generally takes me 2 hours to change the passwords often times it ends up with a password reset because I locked myself out of at least one application.","Usability, data issue",,Neutral
Client/Customer,"The report process is lengthy and after putting all the settings right, it still doesn't generate reports ","Usability, data issue","search, WO, locations",Negative
Technician,The service desk computer is not set up like the PDA. Some of information is not in proper order. Once you figure it out it is not to bad,"Usability, data issue",WO,Negative
Technician,The system and the labels aren't necessarily intuitive for the user,"Usability, data issue","login, mobile",Negative
Technician,"User feedback: Not easy or intuitive to fill in problem code and other drop downs - takes too long to search for an appropriate choice and so some users just end of selecting anything randomly.  Should add ""Building Exterior"" and ""Roof"" to Floor selection drop down","Usability, data issue","Problem codes, Request, assignment, job steps, navigation",Negative
Facility Manager,we currently have to create work order them go back in through view modify so we can attach equipment tag so extra steps,"Usability, data issue","PM, WO, search, client",Negative
Facility Manager,"Having to completely delete an asset in order to edit, it is a waste of time, thus often I won't edit the equipment","Usability, data issue, Feature request",,Negative
Technician,Make it more user friendly and have more info on the assets we have onsite. Give us the ability to add/change asset info. Make the call entry and compleation process easier and faster to complete. Make the app easier to use. Text our work phone when a new work order is made and when they are coming due. Create a bar code scan tool. Customize check list for PM and job steps. Have better unit info and ability to add asset to new work order for tracking. Have a real time help line for techs having trouble with SI7.,"Usability, data issue, Feature request","portal, Request",Negative
Facility Coordinator,"Mobile aMFM:  This is the simplest tool to use, as it is more intuitive, but I don't like the following points: Very tricky to find the correct problem code. I keep typing in keywords until I find one that best suits my problem. I don't like the way of indicating nonconformities in building inspections. There are 3 stars and they indicate NA, No and Yes. I don't think it's functional.","Usability, data issue, Feature request","vendor, finance, competitors",Negative
Facility Coordinator,SI7 is used at a number of company sites globally - my understanding is we have a universal template that must work for all sites. This means the UI is not particularly intuitive as tasks that are operationally relevant to one site in e.g. India sit in the menu and may be raised by requestors in London - however the task is not relevant to London. Would be great to be able to tailor the UI 'per site' - as I'm sure around the world buildings have different offerings and vocab for tasks etc ,"Usability, data issue, Feature request",call center request,Negative
Facility Manager,"It is frustrating that more than one person can't be in a work order. The WO gets locked and then you can't make edits.  PO information that goes with the WO is a hassle to track down. Something more seamless or easier to get to would be better (possible PO# listed in the ""log"") CPI status should trigger a notification/email to the FC or FM for work to be inspected.  Re-send option for CAT5 approval emails to the client - or auto re-send after 24/36 hours without acknowledgement of the request. Added CAS field where the Activity/BOMA code can be selected prior to PRL - The Activity/BOMA codes do not align with every budget BOMA code based on the WO  description/problem. Being able to select all the financial information prior to PRL would make for less edits on PO's.  ","Usability, data issue, role permission","WO, client, email, notification",Neutral
Facility Manager,"There are not enough specific problem reporting codes to drill down into, something that probably needs to be revisited.  Not enough training available to how to pull reports, to measure KPI's against the SLA.  The dispatching path somethings go through to many hands before being dispatched to the assignee. Job Safety templates is a lot and should be link to the problem code and automatic within the work order.","Usability, data issue, training",assets,Negative
Facility Manager,Align the search menu in a more user friendly manner at the entry and search store level.,"Usability, Feature Request",languages,Negative
Technician,Be able to view a password when entered into the login page.  This would be huge and potentially cute down on password resets.,"Usability, Feature request",WO,Negative
Technician,Being able to save a desktop layout in my workorders would be helpful. It always defaults to the original field layout when you go back into the desktop later.  ,"Usability, Feature request",login,Negative
Technician,Could you make the amounts in the field po's editable in the slim chance that I make a mistake (instead of putting in negative numbers) just wondering. Thanks ,"Usability, Feature request","iMFM, PO, Attachments",Neutral
Facility Coordinator,harder to find closed tickets if a need arises on an audit when you dont know a number of a ppm ,"Usability, Feature request",,Negative
Facility Manager,"I use SI7 for the majority of my CBRE work, as it gives me more flexibility and visibility on which vendors are actually being dispatched to. With the huge dispatch matrixes for all of the services, it's almost impossible to keep track of which does what and who is primary and secondary and tertiary and who has a tech to make ServiceInsight very useful.   ","Usability, Feature request",,Neutral
Facility Manager,Improve search function for looking up orders. Improve warranty recall method.  Add the missing locations for where work needs to be completed inside store.  Add a drop down for normal compactor pickup service. Add being able to access remotely via officedepot.sharepoint.  ,"Usability, Feature Request","WO, PO",Neutral
Facility Manager,Improvement is required that we should able to see previous tickets.,"Usability, Feature request",,Negative
System Administrator,"In iMFM have the work orders change color as they get closer to the due dates. Green when they are on time, yellow as they approach the due date, and red when they late. ","Usability, Feature request","PM, Reporting, locations",Neutral
Facility Manager,"It would be nice in the Service Provider box if you could highlight and save the name of the Provider to paste into emails instead of having to type them out, as some of them have quite long names. Currently, if you try to click on the Service Provider name, it pulls the box open to change the Service Provider.","Usability, Feature Request",,Neutral
Client/Customer,"It would be nice to see my open work orders easier.  I just want to see mine not everyones.  Also it would be very helpful to be able to ask questions regarding WOs.  Such as requesting a timeline follow-up, or add more information once submitted. ","Usability, Feature Request","WO, job steps, Problem codes",Negative
Technician,"Lack of consistency with keeping conductivity. It Can lack user friendly features from time to time when it comes to communicating with other vendors attached to VAWS. It gives you an option to email outside attributes but doesn't always seem to deliver messages sent. There should be a more direct communication string that lets you see important messages sent back from the vendor or that you send to them that get directed to the recipient except through an email a message attached to the work order when it's closed. Also, the client needs to have a better understanding, at times, with what work gets sent to maintenance requests and other tasks outside of our scope ","Usability, Feature request","WO, iMFM, competitors",Negative
Facility Coordinator,"make it easier to navigate and pull up orders, also to get alerted if anything in new when it comes in, I am never notified and hardly use this so when i do its very difficult to understand how to alert the customer back on orders. Not user friendly at all to someone trying to use it that only uses it a couple times a year.","Usability, Feature Request","WO, PO, notification",Negative
Facility Manager,"make it mandatory to have problem description along with problem location and other key details, before someone can submit a work order. make it have more steps to complete a work order so people who need the info get it an those who don't give enough will start correctly filling the request out ","Usability, Feature request","inspections, PO, WO",Negative
Facility Manager,Make the reports easier,"Usability, Feature Request",,Negative
Technician,More non tech savvy user/client friendly interface. Including more common language for drop down menus,"Usability, Feature Request","WO, old SI",Negative
Client/Customer,On the top of every page. If there could be a field in which you can type in a workorder number for quick search access. Sometimes im on the phone and have to type in the workorder number the client is telling me. Be say I have just done a site history search - now I have to find the drop down to get to workorder history and then type in the workorder number instead of just being able to search the workorder number from my original page. The home page/ opening page should also have this feature so I can dive into workorders as soon as i log in. ,"Usability, Feature request",locations,Neutral
Facility Coordinator,"Should have the facility to log incidents. Also, it is not that user friendly. ","Usability, Feature request",,Negative
Facility Manager,"SI could be improved with more functionality. If we didn't have Coupa and could do everything in SI, it would help. PO's are time consuming, price increase or decrease takes time. One stop shop would be so helpful.","Usability, Feature request",platform,Negative
System Administrator,simplify drop down options and make it easy to add pictures of issues.,"Usability, Feature Request",,Positive
Facility Manager,"Sit down with or do a teams meeting with a few users at our site and create, research and approve a few work orders to see how we use it and how it is not user friendly.  I will be glad to setup a few users on a teams meeting with you.  Bward@ups.com","Usability, Feature request","mobile, Desktop",Negative
Facility Manager,Streamline the quote process. A create proposal button or add quote. Just seems like there are a lot of processes to go through to upload a quote.,"Usability, Feature Request",SIRequest,Negative
Facility Manager,The ability to be able to resubmit a quote after it's been rejected without having to email someone to reopen ,"Usability, Feature Request",,N/A
System Administrator,"The interface is clunky. Feels like 1990s internet tech. It should be more mobile-friendly, too. Also, there should be an option to delete uploaded photos or files, in case the wrong file is uploaded. ","Usability, Feature Request",,Negative
Technician,"The only complaint I have is that I have to close orders on my mobile device, It would be so much easier to do all from desktop or if we have a windows based Ipad or notebook","Usability, Feature request",languages,Negative
Technician,"There are too many windows to get the basic information on a single workorder. We wish it could be all on one.  Clients complain that have to submit workorders that it is cumbersome. They don't always choose the correct workorder because they don't know where the correct selection is located, or they dont know what to select. If they choose the wrong selection it gets routed to the wrong person and we are unaware it has been submitted. And there it sits in cyber space.  Verbige is unclear for the client. A pop up window explaining the selection, or who it gets assigned too would be helpful. ","Usability, Feature request",iMFM,Neutral
Facility Manager,would help to have stores email address in all jobs and also nicole warner's email address noted.  these 2 addresses have to be manually entered ,"Usability, Feature Request","PO, MyBuy",Neutral
Facility Manager,A number of the processes require numerous steps to confirm an action and to clear the actions acknowledgment.  NTE uplift is totally illogical   These problems may be driven by user approval levels.,"Usability, Feature request, data issue",,Neutral
Technician,"I would recommend clearing the vendors that we no longer used to be removed.   Need to update some GL codes, they do not match to request. ","Usability, Feature request, data issue",iMFM,Neutral
Facility Manager,Instead of primary secondary Tertiary for the vendors it would be nice to be able to have the name of the vendor displayed in a drop down or search menu. ,"Usability, Feature request, data issue","WO, Attachments",Negative
System Administrator,"When viewing the Quick List, regardless of how many WO lines a user applies in the system (I have it set to 75 lines), only 9 are visible, because of the fixed letter box style panel they are listed in. If this was expanded so that more were visible, making better use of the browser window available, WOs would be much easier to find when scrolling up and down the list.  WOs that have been closed have their status changed to ""posted"" after a period of time. It is not possible to link new WOs to posted WOs as related. This would be useful, as relating tickets builds a knowledge base over time.","Usability, Feature request, data issue",Attachments,Neutral
Facility Manager,"as a recording tool it does the job, I have the ability to use SI and imFM for the same service, it is unfortunate that they are not more similar in use. so, I only use the computer it is faster. I spend too much time on using it but it is required.","Usability, Feature request, performance","browser, WO",Neutral
Facility Manager,"Allow me to open and notate multiple work orders simultaneously. Currently, fmPilot will only allow you to notate the work order that was opened last. fmPilot is also often slow and buggy. For example, if you make a mistake while building a quote, you are no longer able to save your correction, and you are forced to start the quote all over again. This is very frustrating when you've already input numerous line items. ","Usability, Performance","Problem codes, Reporting, SLA, Job Safety, dispatch",Negative
Facility Manager,"FM pilot does not have a dispatch board and is not  fast enough for the high caliber , fast pace account we have.  Its functions do not meet our accounts needs. It is slow , to many clicks to get where you need to go and it does not function as it should . For years now it still does not function for our account with times down , upgrades that happen always take down our program down the following day.  Over all it slows down my job performance all together. In my opinion it cost us money if we can't manage the Urgency for the clinic , our client or team to assist in managing the Work orders effectively. ","Usability, Performance","PM, WO, assets, search, navigation",Negative
Vendor,fmPilot is extremely outdated and is slow to load and user experience is not user friendly. ,"Usability, Performance",,Positive
Facility Manager,gets to complicated or confusing with all the dropdowns and choices. I don't use 80% what what's there and never will. also the program has a tendency of dropping out or closing while in the middle of work (timing out). ,"Usability, performance",search,Neutral
Facility Manager,"I have worked with and built several WO/PM programs. This program is SLOW and not user friendly. We have had it for a year and still do not have a working PM Program that matches what I have asked for. The auto-dispatch make no sense. The Problem codes make no sense. This system is under par for technology and over par for being outdated. I have real input if someone would like it, but unless someone is willing to listen, it just sounds like complaints.","Usability, performance",competitors,Negative
Client/Customer,"I think if the ServiceInsight UX is more intuitive, then it would be much easier to use. I addition, I hope that the speed of the website could be improved. ","Usability, performance",vendor,Neutral
Client/Customer,It doesn't flow very easily. It glitches quite a bit,"Usability, Performance",,Positive
Technician,"It is extremely SLOW and difficult to navigate. Not user friendly, difficult to search jobs, communicate with PMs, update info as needed, etc... ","Usability, Performance","WO, tickets, iMFM",Negative
Facility Manager,"More user friendly, does not flow.  Reports are cumbersome to populate.  ","Usability, performance","WO, search, browser",Negative
Facility Manager,New UI is a big laggy at times.  Like after you create a work order you're having to refresh it for it to load the completed work order on the screen.  Sometimes the new UI won't load for me in Chrome.,"Usability, Performance",,Negative
Client/Customer,Please look into a more user/vendor friendly system.  Going to multiple sites isn't very efficient.  This current SI system is cumbersome at best. ,"Usability, performance","WO, dispatch, matrix",Negative
Facility Manager,"Reduce the amount of clicks, its always buffering. ","Usability, Performance","WO, job steps",Negative
System Administrator,Speed and improve ease of use. ,"Usability, Performance",Request,Negative
Facility Manager,"System lags, especially when using the Tracking (Bus);  Would be nice to see all the IVR on the main screen without having to drill down(space available if comment box removed from Main Screen);  Include Primary Email contact in the Comment Email Contact Box  as standard default ","Usability, Performance",WO,Negative
System Administrator,The system is too difficult to navigate and submit invoices.  Too many steps involved for a simple process.  The excel exports take forever to pull even for a simple report.  Need an option to delete PDF's since errors do occasionally happen and there is not currently an end user option to delete.,"Usability, Performance",vendor,Neutral
Facility Manager,The UI and the responsiveness could be improved a bit. These are just test comments.,"Usability, Performance",Problem codes,Neutral
Client/Customer,You have to click around for certain buttons that could be on the first page since are used so frequently.  Also I find ServiceInsight to be slow.,"Usability, performance",WO,Neutral
Technician,"A ground-up rebuild would probably be best. I have most trouble with comments and email integration, navigating work order groups, having multiple tabs of fmPilot open at once confusing actions, performing bulk actions, and generally glitches and latency issues throughout the site.","Usability, Performance, Bug","Desktop, mobile",Neutral
Facility Coordinator,"There's a lot to learn about SI7. It has a lot of perks and just as many glitches. I'm a computer savvy person and it's still a difficult application for me to navigate. I will say, like with anything, the more time invested using the app the easier its become to manage. This is in direct response to the difficulty of SI7.   The app doesn't populate everything that is requested. I often have to hit refresh on the browser when i bring up my call list because it doesn't bring up all of my WOs. I've entered a CAS to create a PO and the PO doesn't generate in coupa. Just things like that would help if they were cleaned up. Maybe streamline the app better. Make a GUI for each level of clearance as far as access to the app. So a tech's GUI would look different than an FM/FC. Not just making the links inaccessible. ","Usability, performance, training, data issue, role permission","WO, Request",Negative
Customer Service Rep,"Better, faster, more flexible interface. This version needs to be scratched and updated. Not fun dealing with CBRE employees. It leaves a bland, bad taste in the mouth. ","Usability, Process","languages, login",Neutral
Facility Manager,"It would be better if we could contact someone easier when something happens.  Also, The system isn't very user friendly.  It should have more warning pop ups when something is missing or different.  Thank you.","Usability, Process","PM, job steps",Negative
Technician,Make it easier to communicate with support / AP / team leaders etc.,"Usability, Process",,Negative
Facility Manager,Payment processing is a massive inconvenience. All the options to choose from or not user-friendly. There is no updates when something has changed other than through your email please hinder and cost us valuable time.,"Usability, Process","WO, search, quicklist",Negative
Facility Manager,Too difficult to move around....have to click on too many things just to approve or reject items.  Response time is slow.,"Usability, Process","WO, locations",Neutral
Technician,Use a usable UI. Also most calls come in at 1 o'clock and we are 2 hours from going into overtime already.,"Usability, Process",login,Negative
Facility Manager,"Use is not intuitive. Often comments, etc. appear to be minimal or non-existent. We shouldn't have to struggle to know what's going on with a ticket. Updates are not sent to anyone on the clinic side.  We get no notification of creation of WO, changes to WO, etc.    Uploaded documents (backflow preventer documentation, fire extinguisher, etc..) should be automatically forwarded to someone within the clinic. Often these are uploaded weeks after we open tickets and we never see them if we don't remember to go back and check.  Even searching for past tickets can be difficult and frustrating as there are far too many categories of information that we have no knowledge of.","Usability, Process","PM, WO",Negative
Facility Manager,"Direct every request for my team directly to me. Skip the FC, and FM. It sits in their queue at times . Lost time I need to meet SLA.","Usability, role permission","Reporting, tickets",Neutral
Technician,I'm unable to view just my current and past requests. The website shows every request from other users as well. ,"Usability, role permission","iMFM, WO",Neutral
Facility Coordinator,Make it easier to search for work orders and make it easier to add users.,"Usability, Role Permission","vendor, search, job plans, competitors",Negative
Technician,the options within the portal don't align with some of the requests needed here on site. i have to select drop downs that don't apply and then provide specific directions within the comments section. ,"Usability, role permission","mobile, PO",Negative
Client/Customer,"ServiceInsight is a powerful tool.  At the technician level, efficiency and ease of use should be the priority.  In many cases technicians are now spending a portion of their time entering data to Si7.  The goal should be to minimize data entry time and maximize wrench time.  Allow administrators and managers to retain the very powerful tools that are available in Si7.  I would go at it like Nest did with the thermostat.  No one thought thermostats needed to be changed.  Nest approached it with simplicity in mind and it revolutionized thinking about how people interact with a product. ","Usability, role permission, data issue","login, client",Negative
Technician,I would like to see the mobile MFM app have more streamlined controls for the tech in the field. ,"Usability, role permission, Feature request",,N/A
Facility Manager,"The tools is not friendly user.  It has archaic graphics, complicated search tool,  hard to find what we need.  Many times my team and I want to update a WO and we end asking for help in our organization because the tool does not provide the right access we need.    We are not allowed to integrate new PM schedules and always depend on others, but the response time is always more than a month.  Our productivity has depleted with this tool and the client prefer not to use it, since they never can't allocate their WO in the right field.","Usability, support, data issue","WO, Attachments",Neutral
Technician,"We also use VAWS a part of the Service Insights suite.  The tool is useful because it is what we have. However, I have experienced some difficulties with the setup/configurations. For instance, the Set G/L-subledger.  Also, accessing some of the actions through tabs and others through grids.  A person could miss that all together.  I have submitted several enhancement requests and can't wait to hear the results. ","Usability, support, data issue",WO,N/A
System Administrator,fmPilot is not user friendly to get started. Once you learn everything it seems easier.,"Usability, Training",,Negative
Technician,"For the majority of users SI7 is too clunky. For a system that is supposed to be widely used by site population, training should not be required.   There are too many drop downs menus (maintenance category) that ultimately mean little to the end user. For the most part, almost all of the requests at my sites go to the same people, so why do all of the selecting?  At my sites you select address and then the next selection is something like all rooms. Why have the category?  Thanks for reviewing my feedback.","Usability, training",,Neutral
Facility Manager,"Make it more USER FRIENDLY.   The facilities have difficulty finding the correct coding to enter NON EMER work orders.  Some of the codes the support center uses all the time are not available to them...so they enter just about everything as General Maint, --which is not good.   Give the facilities instruction, easy instruction on how to use it.   That would make support center staff work easier instead of having to fix the mistakes of others before service is rendered.  ","Usability, Training",,Positive
